"player","mapsPlayed","impact","rating"
"sickLy",1,-3.90886499991661e-05,NA
"InJect",1,-3.96772621866169e-05,NA
"Pizituh",1,-4.10258764158368e-05,NA
"Annihilation",5,-4.65283300150146e-05,NA
"fel1x",2,-5.00337519652728e-05,NA
"toM",1,-5.40063925682761e-05,NA
"VladY",1,-5.68775063431287e-05,NA
"willyKS",1,-5.72045564617826e-05,NA
"Peppzor",2,-5.88316317117071e-05,NA
"Neffo",1,-6.02998620762708e-05,NA
"Coffee",2,-6.06627258936455e-05,NA
"insanity",1,-6.11719924116633e-05,NA
"LK",1,-6.38308523138067e-05,NA
"Kwong",1,-6.50024816885504e-05,NA
"KIKOOOO",1,-6.78434101814098e-05,NA
"minse",1,-6.81156231879989e-05,NA
"oliff",1,-7.45478087464913e-05,NA
"Laes",1,-8.18939202338895e-05,NA
"Zyppe",3,-8.33593595964434e-05,NA
"CHRiSOAOW",2,-8.47352237420949e-05,NA
"Demho",2,-8.58991844184192e-05,NA
"troller",1,-8.64890199156123e-05,NA
"quiNz",1,-8.8957182850897e-05,NA
"SOLA",2,-8.90291433693663e-05,NA
"Tactus",1,-9.32394650405876e-05,NA
"Kingfisher",1,-9.47055567940792e-05,NA
"f4rm3r",1,-9.53758184580887e-05,NA
"NiSMO",1,-9.75314650999947e-05,NA
"kakafu",1,-0.000101012061745523,NA
"Mr.mao",1,-0.000102386417731634,NA
"wASH1K",2,-0.000103514728413901,NA
"CHEHOL",1,-0.000103820063295245,NA
"redhide",1,-0.000116588715912382,NA
"Not7",2,-0.00011790070229048,NA
"1mpact",1,-0.000120004265988566,NA
"fnyekes",2,-0.000124004566302875,NA
"d3k1",1,-0.000125259659286606,NA
"Enzo",3,-0.000126206811625697,NA
"rjy",1,-0.00012827994865415,NA
"qz",2,-0.000128621675670826,NA
"toby1",1,-0.000131404466957943,NA
"Zitte",2,-0.000131973059605496,NA
"huckLeberry",2,-0.000132259306377359,NA
"dmize",2,-0.000134363165222676,NA
"Remoy",4,-0.000135425757776975,NA
"c0llins",2,-0.000135910204774924,NA
"IDZUO",2,-0.000138138123135966,NA
"jtr",1,-0.000139890416337572,NA
"maLeK",2,-0.000141388015456292,0.65
"mAThx",1,-0.00014225806347899,NA
"FaNg",77,-0.000143142609523865,1.03
"moses",1,-0.000147598320238479,NA
"TheOne",2,-0.000148246165642795,NA
"Katalic",2,-0.000148623217295163,NA
"color",2,-0.000149517809740112,NA
"Killkapi",1,-0.000151848682725757,NA
"So5",1,-0.000153720506728418,NA
"roque",1,-0.000154583278920884,NA
"Xeppaa",138,-0.000154753678289956,1
"sarenii",2,-0.000157349329450862,NA
"frzmonster",1,-0.000157743379536715,NA
"ZELIN",4,-0.000159612576914601,NA
"space",1,-0.000159725398296985,NA
"Krav",2,-0.000159958386894601,NA
"Dahl",1,-0.000160249993611651,NA
"sLip",1,-0.000161333630323745,NA
"snapy",2,-0.000162741257185497,NA
"FliP1",3,-0.000163429728870181,NA
"blacktear5",2,-0.000164621097846217,NA
"qbaby",1,-0.000166044340456176,NA
"m4v3r1ck",2,-0.000168021502508481,NA
"Eeyore",1,-0.000168318993133389,NA
"Kheadi",2,-0.000170971419280759,NA
"FigaaOP",2,-0.000174500969354384,NA
"barney",2,-0.000174957491765826,NA
"Jujje",1,-0.000176043570954945,NA
"d4v41",1,-0.000177730223339789,NA
"Rub3nix",1,-0.000179723188591672,NA
"TONI",2,-0.000181564411124237,NA
"diyy",1,-0.00018161632345667,NA
"Kind0",2,-0.000182199074344537,NA
"shellzi",2,-0.000184048989518862,NA
"BASiC",1,-0.000184304734495723,NA
"rilax",3,-0.000184892857384126,NA
"KTWO",2,-0.000185766315549112,NA
"JonahP",3,-0.000186025163130981,NA
"Irukandji",9,-0.000187329977403382,0.97
"shonk",3,-0.000188257270715705,NA
"jhd",1,-0.000189458359031122,NA
"Badshah",3,-0.000190024861470906,NA
"zEptonL",3,-0.000190092018555202,NA
"redla1N",2,-0.000190953850012645,NA
"Maccen",1,-0.000191125798043917,NA
"YDNA",1,-0.000191618580917027,NA
"picky",2,-0.000192558147967824,NA
"amosE",1,-0.000192813291382897,NA
"Ange",1,-0.000193983999806147,NA
"ARSENY",2,-0.000195733662059716,NA
"Glovee",3,-0.000196315099105699,NA
"s1ren",2,-0.000196674938478735,NA
"CRMJ",1,-0.000200015846136893,NA
"Falcon",1,-0.000200500724072995,NA
"v1N",3,-0.000200887022010372,NA
"witz",3,-0.000200946010643539,NA
"SenpaiMadara",1,-0.000208830290135655,NA
"nafu",2,-0.000211502825888505,NA
"OKAYYY",1,-0.000212114653551868,NA
"riksen",2,-0.000212377932092007,NA
"rdO",3,-0.000212479755513698,NA
"gi",2,-0.000213687148021649,NA
"Nico",1,-0.000216324024182302,NA
"xerus",1,-0.00021646454029395,NA
"primortjE",1,-0.000219586581940841,NA
"OWNER",3,-0.000221186722464671,NA
"NOPEEJ",2,-0.000221722405668208,NA
"Retrac",2,-0.000224178364734738,NA
"JD",1,-0.000225143241264186,NA
"Hotel",1,-0.000225545731926932,NA
"Max0b",1,-0.000232218021776911,NA
"NKsan",1,-0.000232233492875033,NA
"DomiNate",1,-0.000232453944058525,NA
"GreK",2,-0.000234668553426731,NA
"k0ja",1,-0.000235972664022839,NA
"spookr",1,-0.000238383893278658,NA
"znx",2,-0.000238600870503942,NA
"ZEN",2,-0.000240131120539683,NA
"neph",1,-0.000240855647274407,NA
"BLU3",3,-0.000241585274288833,NA
"Lucaozy",1,-0.000245417838351484,NA
"Noisia",1,-0.000245515695984745,NA
"Grashog",1,-0.000246557097559404,NA
"xerolte",5,-0.00024669266776805,NA
"Miki",1,-0.000246835040177679,NA
"pz",1,-0.000247230501137001,NA
"Devilwalk",8,-0.000248013658348705,1.09
"SneakZ",1,-0.000248226523390488,NA
"shaney",2,-0.000249042960385515,NA
"k1to",582,-0.0002498553764093,0.95
"st0Le",1,-0.000250118073538785,NA
"Proxure",1,-0.000250525129571971,NA
"LONSDALE",1,-0.000252224390736177,NA
"MOREE",1,-0.000252330291319062,NA
"l0gicman",2,-0.000253046118892566,NA
"Zac",1,-0.000253071614025126,NA
"Lightstep",2,-0.000253450841238994,NA
"headtr1ck",2,-0.000253895018924812,NA
"HLEB",1,-0.00025482668988925,NA
"chelleos",1,-0.000254980729301696,NA
"breaker",1,-0.000255709400937641,NA
"chrille",1,-0.00025619244366056,NA
"chrisM",1,-0.0002566043461786,NA
"zont1x",2,-0.000258122115605937,NA
"Get_Jeka",2,-0.000258671194697996,NA
"syN",2,-0.000262860211138379,NA
"Jamie",1,-0.000264504272021606,NA
"pickles",1,-0.000264974952359777,NA
"pounh",35,-0.000267292712284185,NA
"fNk",2,-0.000272481197415075,NA
"RIZZZ",2,-0.00027315355788749,NA
"mag0o",2,-0.000275145766582558,NA
"koga",1,-0.000275162875825883,NA
"VANITY",4,-0.000275518989340731,NA
"J4CK",1,-0.000276360522533041,NA
"yukiiii",2,-0.00027799906635347,NA
"luk",2,-0.000278498247671882,NA
"dezon",9,-0.000279772034690655,NA
"xiaoshou",1,-0.000280125602844935,NA
"Mh",2,-0.00028065749686707,NA
"SeanL",1,-0.000283787511547803,NA
"Delpan",3,-0.000284062769169375,NA
"Zerocool",1,-0.000284794204550503,NA
"MusambaN1",2,-0.000285675762735975,NA
"Staehr",2,-0.000286864764056342,NA
"Sys",1,-0.00028707006716024,NA
"nky",1,-0.000287797473251966,NA
"b0bbzki",8,-0.000288966972877972,NA
"alecks",5,-0.000290911685251183,NA
"malik",4,-0.000291105020452515,NA
"crazyd33R",3,-0.000292084512827582,NA
"Slutty",2,-0.000292803429236884,NA
"pArker",1,-0.000293529847383735,NA
"knave",1,-0.000293881205409379,NA
"wippie",5,-0.000294385470197586,NA
"ed101",3,-0.000294989288427054,NA
"JA",2,-0.000296621491300573,NA
"bzt",2,-0.000296711539930957,NA
"etl",1,-0.000297286935854406,NA
"Art1st",3,-0.000297374757720323,NA
"ZENCER",1,-0.000298882252233658,NA
"Luken",11,-0.000299822052569435,NA
"zbM",1,-0.00030149264203321,0.48
"Perris",1,-0.000303262889645586,NA
"fibb0",1,-0.00030346998714859,NA
