"player","rating"
"pauf",0.95
"reltuC",0.95
"sLowi",0.95
"NEO",0.95
"doto",0.95
"mistou",0.95
"TOAO",0.94
"LOMME",0.94
"Hatz",0.94
"Inzta",0.94
"interz",0.94
"kaper",0.94
"Jonji",0.94
"Ryxxo",0.94
"svyat",0.94
"adreN",0.94
"ave",0.94
"ableJ",0.94
"speed4k",0.94
"to1nou",0.94
"tiziaN",0.94
"yay",0.94
"DEVIL",0.93
"just9n",0.93
"ZEDKO",0.93
"Lack1",0.93
"Zeus",0.93
"MSL",0.93
"cxzi",0.93
"smF",0.93
"n0rb3r7",0.93
"phr",0.93
"ngiN",0.93
"Dima",0.93
"desi",0.93
"SIXER",0.92
"LETN1",0.92
"drop",0.92
"karrigan",0.92
"grux",0.92
"blocker",0.92
"hazed",0.92
"SasuKe",0.92
"Kyojin",0.92
"meyern",0.92
"SANJI",0.92
"KrizzeN",0.91
"DESPE",0.91
"LOGAN",0.91
"SHOOWTiME",0.91
"Freeman",0.91
"matHEND",0.91
"aliStair",0.91
"LNZ",0.91
"pNshr",0.91
"yam",0.9
"Maluk3",0.9
"XotiC",0.9
"oxygeN",0.9
"jmqa",0.9
"Attacker",0.9
"AcilioN",0.9
"mitch",0.9
"hutji",0.9
"Maka",0.9
"Hyper",0.9
"captainMo",0.9
"NaToSaphiX",0.9
"spaze",0.89
"SmithZz",0.89
"Shara",0.89
"Sergiz",0.89
"junior",0.89
"Golden",0.89
"gob b",0.89
"daps",0.88
"LEGIJA",0.88
"regali",0.88
"crush",0.88
"fxy0",0.88
"Zellsis",0.88
"wayLander",0.88
"morelz",0.87
"jasonR",0.87
"malta",0.87
"starix",0.87
"DemQQ",0.87
"zonic",0.87
"emi",0.87
"cogu",0.87
"seang@res",0.87
"honda",0.86
"HooXi",0.86
"dav1g",0.86
"beastik",0.86
"JT",0.86
"FNS",0.86
"ztr",0.86
"nkl",0.86
"DickStacy",0.86
"hooch",0.86
"caike",0.85
"TuGuX",0.85
"a2z",0.84
"advent",0.84
"pronax",0.84
"neptune",0.83
"shalfey",0.82
"Patsi",0.82
"j3kie",0.82
"SileNt",0.82
"kRYSTAL",0.82
"HUNDEN",0.82
"LILMAN",0.81
"kwezz",0.81
"MAiNLiNE",0.81
"B1ad3",0.81
"balblna",0.81
"Slemmy",0.8
"notaN",0.8
"Uber",0.79
"Lukki",0.79
"Psycho",0.79
"S0tF1k",0.79
"dead",0.78
"SPUNJ",0.78
"jemi",0.78
"Fuks",0.77
"keshandr",0.77
"zews",0.77
"Johnta",0.76
"Impulse",0.76
"vice",0.76
"Jayzwalkingz",0.76
"jayzaR",0.75
"guerri",0.74
"pita",0.74
"AE",0.74
"mch",0.74
"PlesseN",0.74
"zqkS",0.73
"RobbaN",0.73
"slap",0.73
"THREAT",0.73
"ruggah",0.72
"YNk",0.71
"zakk",0.71
"CONNOR93",0.71
"pecks",0.7
"VKLL",0.69
"Norwi",0.68
"enkay J",0.66
"maLeK",0.65
"Certus",0.63
"naSu",0.62
"fenvicious",0.62
"Jumpy",0.62
"KaiR0N-",0.6
"fekkegudN",0.6
"JamezIRL",0.59
"valens",0.58
"aMi",0.58
"tucks",0.56
"KHTEX",0.54
"Loord",0.53
"lmbt",0.5
"zbM",0.48
"Rejin",0.44
"Kane",0.42
"kuben",0.39
